// Incomplete, bruteforced from opcodes-814-1169.txt and opcodes-809-1183.txt
// Build 813 has no gamepack (the mirror lists 812 then 814), so this holds only what scripts show.
detailcanmod_groundblending,220
detailcanmod_texturing,18
detailcanmod_maxscreensize,99
detailcanmod_toolkit_default,519
detailcanmod_skydetail,1119
detailcanset_antialiasing_quality,539
detailcanset_particles,770
detailcanset_buildarea,473
detailcanset_maxscreensize,230
detailcanset_toolkit_default,436
detailcanset_skydetail,1044
get_npc_vislevel,765
get_entity_screen_position,78
if_get_gamescreen,607
if_set_gamescreen_enabled,411
get_entity_overlay_height,430
get_npc_stat,548
is_targeted_entity,971
npc_type,701
get_loc_screen_position,272
get_obj_screen_position,496
get_loc_overlay_height,689
get_obj_overlay_height,84
get_loc_bounding_box,827
get_obj_bounding_box,366
get_entity_bounding_box,113
quest_finished,1067
sound_group_start,589
sound_group_stop,354
sound_vorbis_volume_rate_group,372
preload_percent,418
shader_preload_throttle,157
fps_stats,626
runjavascript,346
unk_524,353
