// Cache 2008 is German and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 839 is still covered by its seven other caches.
cam_modeisfollowplayer,736
login_reply,149
login_hoptime,364
login_ban_duration,61
create_reply,587
create_email_validate_reply,350
create_name_validate_reply,1145
create_suggest_name_reply,55
create_connect_reply,105
login_disallowresult,67
lobby_entergamereply,610
lobby_enterlobbyreply,9
has_signonkey,641
userflowflags,792
create_under13,599
login_last_transfer_reply,524
login_inprogress,512
login_queue_position,523
login_disallowtrigger,7
create_get_email,798
login_accountappeal,214
detailget_brightness,838
detailget_removeroofs_option,205
detailget_grounddecor_on,1009
detailget_idleanims_many,485
detailget_flickering_on,192
detailget_spotshadows_on,80
detailget_hardshadows,44
detailget_shadowquality,115
detailget_lightdetail_high,1078
detailget_waterdetail_high,1026
detailget_fog_on,373
detailget_antialiasing,600
detailget_antialiasing_quality,92
detailget_stereo,521
detailget_soundvol,681
detailget_musicvol,416
detailget_bgsoundvol,776
detailget_particles,686
detailget_antialiasing_default,678
detailget_buildarea,134
detailget_bloom,52
detailget_customcursors,349
detailget_idleanims,515
detailget_groundblending,88
detailget_toolkit,366
detailget_toolkit_default,247
detailget_cpuusage,116
detailget_texturing,58
detailget_performance_metric,972
detailget_maxscreensize,753
detailget_speechvol,1132
detailget_loginvol,41
detailget_safemode,47
detailget_loadingscreentype,1166
detailget_orthographic,49
detailget_canchoosesafemode,243
detailget_chosesafemode,326
detailget_skydetail,691
detailget_drawdistance,975
detailget_maxdiskcachesize,687
detailget_mindiskcachesize,872
detailget_recommendeddiskcachesize,826
detailget_diskcachesize,785
detailget_animdetail,190
viewport_geteffectivesize,1126
viewport_getzoom,331
viewport_getfov,741
date_minutes,546
date_runeday,164
date_runeday_fromdate,621
date_year,64
date_isleapyear,168
date_runeday_todate,754
date_minutes_fromruneday,137
worldlist_fetch,772
worldlist_start,20
worldlist_next,53
worldlist_switch,620
worldlist_specific,113
worldlist_specific_thisworld,843
if_gettop,985
if_debug_getopenifcount,447
if_debug_getopenifid,479
if_debug_getname,308
if_debug_getcomcount,920
if_debug_getcomname,93
if_debug_getservertriggers,697
opcount,437
mec_text,1196
mec_sprite,915
mec_textsize,268
mec_category,745
mec_param,411
userdetail_quickchat,983
userdetail_lobby_membership,902
userdetail_lobby_recoveryday,1071
userdetail_lobby_unreadmessages,780
userdetail_lobby_lastloginday,1150
userdetail_lobby_lastloginaddress,1175
userdetail_lobby_emailstatus,321
userdetail_lobby_ccexpiry,713
userdetail_lobby_graceexpiry,795
userdetail_lobby_dobrequested,1179
userdetail_dob,653
userdetail_lobby_membersstats,66
userdetail_lobby_playage,831
userdetail_lobby_jcoins_balance,474
userdetail_lobby_loyalty_balance,26
autosetup_dosetup,157
autosetup_getlevel,699
video_advert_play,1090
video_advert_has_finished,221
detailcanmod_grounddecor,153
detailcanmod_spotshadows,800
detailcanmod_hardshadows,670
detailcanmod_shadowquality,955
detailcanmod_waterdetail,719
detailcanmod_antialiasing,1022
detailcanmod_antialiasing_quality,847
detailcanmod_particles,601
detailcanmod_buildarea,421
detailcanmod_bloom,624
detailcanmod_groundblending,941
detailcanmod_texturing,672
detailcanmod_maxscreensize,811
detailcanmod_fog,1079
detailcanmod_orthographic,274
detailcanmod_toolkit_default,856
detailcanmod_skydetail,236
detailcanmod_animdetail,878
detailcanset_grounddecor,594
detailcanset_spotshadows,558
detailcanset_hardshadows,887
detailcanset_shadowquality,1093
detailcanset_waterdetail,70
detailcanset_antialiasing,667
detailcanset_antialiasing_quality,654
detailcanset_particles,125
detailcanset_buildarea,240
detailcanset_bloom,1101
detailcanset_groundblending,83
detailcanset_texturing,1058
detailcanset_maxscreensize,1053
detailcanset_fog,32
detailcanset_orthographic,101
detailcanset_toolkit_default,557
detailcanset_skydetail,821
detailcanset_animdetail,583
get_entity_say,1039
get_displayname_withextras,845
