// Incomplete, bruteforced from opcodes-809-1183.txt
// Its gamepack jar is not on the mirror (85 of ~100 archived), so this holds only what scripts show.
setbit,139
clearbit,697
testbit,878
modulo,1082
pow,148
invpow,814
and,188
or,760
min,952
max,91
scale,553
random_sound_pitch,415
hsvtorgb,683
append_num,79
append,812
append_signnum,927
get_col_tag,345
lowercase,269
fromdate,840
tostring,802
compare,240
paraheight,110
parawidth,15
text_switch,705
escape,511
append_char,648
char_isprintable,292
char_isalphanumeric,771
char_isnumeric,981
string_length,311
substring,64
removetags,229
string_indexof_char,491
string_indexof_string,1061
char_tolowercase,1080
char_touppercase,623
tostring_localised,538
stringwidth,452
string_distance,1059
format_datetime_from_minutes,755
clanforumqfc_tostring,769
oc_name,658
oc_iop,363
oc_cost,680
oc_stackable,924
oc_category,888
oc_hasvarobj,34
oc_cert,502
oc_uncert,38
oc_wearpos,844
oc_wearpos2,389
oc_members,947
oc_param,607
oc_icursor,436
oc_find,118
oc_findnext,653
oc_minimenu_colour,892
nc_param,497
struct_param,877
seqlength,346
bas_getanim_ready,1037
chat_gethistory_byuid,200
chat_getfilter_private,187
chat_playername,163
chat_getfilter_trade,754
chat_getnextuid,462
chat_getprevuid,98
chat_playername_unfiltered,361
chatcat_getdesc,1121
chatcat_getsubcatcount,860
chatcat_getsubcat,478
chatcat_getphrasecount,365
chatcat_getphrase,919
chatphrase_gettext,753
chatphrase_getautoresponsecount,168
chatphrase_getautoresponse,527
chatcat_getsubcatshortcut,429
chatphrase_getdynamiccommandcount,645
chatphrase_getdynamiccommand,101
chatphrase_getdynamiccommandparam_enum,22
chatphrase_find,723
chatphrase_findnext,687
keyheld_alt,515
keyheld_ctrl,441
keyheld_shift,750
worldmap_3dview_active,382
worldmap_3dview_getcoordfine,1049
worldmap_getmap,598
worldmap_getmapname,914
worldmap_getsize,498
worldmap_getdisplayposition,328
worldmap_getconfigorigin,218
worldmap_getconfigbounds,270
worldmap_listelement_start,431
worldmap_listelement_next,331
worldmap_coordinmap,1038
worldmap_getconfigzoom,856
worldmap_isloaded,571
worldmap_getdisplaycoord,668
worldmap_getdisableelements,314
worldmap_getcurrentmap,810
fullscreen_enter,577
fullscreen_modecount,1012
fullscreen_getmode,263
fullscreen_lastmode,599
getwindowmode,127
getdefaultwindowmode,743
spline_length,1006
minimenuopen,841
getclipboard,669
java_version_supported,958
has_html5,434
cam_getangle_xa,715
cam_getangle_ya,519
cam2_getcontrolmode,1058
cam2_getlookatmode,1051
cam2_getpositionmode,284
