// Cache 1524 is an incomplete capture and is not in caches.txt: OpenRS2 returns 404 for
// archive 12 group 4862, so it cannot be unpacked and this table cannot be verified.
if_getfontmetrics,1111
if_getinvobject,524
if_getinvcount,331
if_hassub,538
if_getnextsubid,599
if_hassubmodal,1017
if_hassuboverlay,1065
if_gettargetmask,1071
if_getop,864
if_getopbase,300
if_getcharindexatpos,93
if_getcharposatindex,408
clientclock,144
inv_getobj,246
inv_getnum,204
inv_total,1118
inv_totalcat,263
inv_size,441
inv_stockbase,552
stat,89
stat_base,339
stat_visible_xp,273
stat_base_actual,927
stat_visible_xp_actual,1185
facing_fine,451
coord,234
coordx,977
coordy,1108
coordz,24
coord_fine,532
coordx_fine,611
coordy_fine,749
coordz_fine,169
coordlevel_fine,241
movecoord_fine,186
coord_gridtofine,462
coord_finetogrid,168
map_members,284
map_preload,515
map_loadedpercent,913
invother_getobj,361
invother_getnum,175
invother_total,463
staffmodlevel,570
reboottimer,398
map_world,98
runenergy_visible,684
runweight_visible,325
playermod,793
playermodlevel,992
playermember,423
comlevel_active,827
gender,809
map_quickchat,1029
inv_freespace,299
inv_totalparam,976
inv_totalparam_stack,588
map_lang,154
movecoord,995
affiliate,180
profile_cpu,901
playerdemo,578
applet_hasfocus,1139
frombilling,974
get_mousex,1027
get_mousey,149
get_active_minimenu_entry,657
get_second_minimenu_entry,199
get_minimenu_length,455
npc_find_active_minimenu_entry,777
player_find_active_minimenu_entry,745
get_currentcursor,559
get_selfyangle,526
map_isowner,859
get_mousebuttons,1141
self_player_uid,1016
get_minimenu_target,128
enum_string,1074
enum,1151
enum_hasoutput,411
enum_hasoutput_string,741
enum_getoutputcount,1171
enum_getreversecount,551
enum_getreversecount_string,12
enum_getreverseindex,383
enum_getreverseindex_string,572
friend_count,407
friend_getname,1072
friend_getworld,734
friend_getrank,208
friend_getnotes,1077
friend_getworldflags,1085
friend_test,1095
friend_getworldname,503
clan_getchatdisplayname,1131
clan_getchatcount,521
clan_getchatusername,159
clan_getchatuserworld,956
clan_getchatuserrank,1119
clan_getchatminkick,1056
clan_getchatrank,197
ignore_count,472
ignore_getname,492
ignore_getnotes,1168
ignore_test,1048
clan_isself,1116
clan_getchatownername,481
clan_getchatuserworldname,258
friend_platform,231
friend_getslotfromname,849
ignore_getslotfromname,110
playercountry,269
ignore_is_temp,1165
clan_getchatusername_unfiltered,682
ignore_getname_unfiltered,700
friend_is_referrer,221
friend_is_referred,1026
activeclansettings_find_listened,232
activeclansettings_find_affined,28
activeclansettings_getclanname,240
activeclansettings_getallowunaffined,294
activeclansettings_getranktalk,0
activeclansettings_getrankkick,203
activeclansettings_getranklootshare,1124
activeclansettings_getcoinshare,30
activeclansettings_getaffinedcount,483
activeclansettings_getaffineddisplayname,725
activeclansettings_getaffinedrank,855
activeclansettings_getaffinedmuted,863
activeclansettings_getbannedcount,785
activeclansettings_getbanneddisplayname,360
activeclansettings_getaffinedextrainfo,554
activeclansettings_getcurrentowner_slot,877
activeclansettings_getreplacementowner_slot,353
activeclansettings_getaffinedslot,622
activeclansettings_getsortedaffinedslot,317
activeclansettings_getaffinedjoinruneday,887
activeclanchannel_find_listened,669
activeclanchannel_find_affined,113
activeclanchannel_getclanname,909
activeclanchannel_getrankkick,708
activeclanchannel_getranktalk,1172
activeclanchannel_getusercount,906
activeclanchannel_getuserdisplayname,861
activeclanchannel_getuserrank,502
activeclanchannel_getuserworld,903
activeclanchannel_getuserslot,449
activeclanchannel_getsorteduserslot,817
clanprofile_find,485
stockmarket_getoffertype,999
stockmarket_getofferitem,102
stockmarket_getofferprice,414
stockmarket_getoffercount,1049
stockmarket_getoffercompletedcount,384
stockmarket_getoffercompletedgold,1180
stockmarket_isofferempty,994
stockmarket_isofferstable,873
stockmarket_isofferfinished,440
stockmarket_isofferadding,902
add,146
sub,702
multiply,1002
divide,137
random,64
randominc,125
interpolate,460
addpercent,985
setbit,765
clearbit,812
testbit,606
modulo,831
pow,56
invpow,506
and,574
or,754
min,447
max,416
scale,1099
random_sound_pitch,1152
hsvtorgb,217
not,625
append_num,629
append,29
append_signnum,94
get_col_tag,402
lowercase,1197
fromdate,900
text_gender,915
tostring,972
compare,131
paraheight,732
parawidth,394
paraline,794
text_switch,690
escape,1058
append_char,791
char_isprintable,424
char_isalphanumeric,1128
char_isalpha,48
char_isnumeric,825
string_length,685
substring,1025
removetags,904
string_indexof_char,490
string_indexof_string,428
char_tolowercase,244
char_touppercase,156
tostring_localised,998
stringwidth,318
string_distance,731
format_datetime_from_minutes,821
clanforumqfc_tostring,982
oc_name,679
oc_op,327
oc_iop,587
oc_cost,755
oc_stackable,1083
oc_category,214
oc_hasvarobj,399
oc_cert,955
oc_uncert,322
oc_shard,1089
oc_unshard,542
oc_shardcount,983
oc_wearpos,837
oc_wearpos2,368
oc_wearpos3,51
oc_members,1007
oc_param,784
oc_icursor,95
oc_multistacksize,1064
oc_find,959
oc_findnext,142
oc_minimenu_colour_overridden,493
oc_minimenu_colour,720
nc_param,673
lc_param,871
struct_param,942
seq_param,55
seqlength,775
bas_getanim_ready,264
chat_getfilter_public,429
chat_gethistory_bytypeandline,389
chat_gethistory_byuid,1044
chat_getfilter_private,1039
chat_playername,1107
chat_getfilter_trade,1162
chat_gethistorylength,289
chat_getnextuid,514
chat_getprevuid,1032
chat_playername_unfiltered,632
chatcat_getdesc,1129
chatcat_getsubcatcount,811
chatcat_getsubcat,518
chatcat_getphrasecount,645
chatcat_getphrase,866
chatphrase_gettext,1088
chatphrase_getautoresponsecount,1009
chatphrase_getautoresponse,997
chatcat_getsubcatshortcut,984
chatcat_getphraseshortcut,1150
chatcat_findsubcatbyshortcut,916
chatcat_findphrasebyshortcut,366
chatphrase_getdynamiccommandcount,11
chatphrase_getdynamiccommand,1186
chatphrase_getdynamiccommandparam_enum,107
chatphrase_find,1181
chatphrase_findnext,101
keyheld_alt,265
keyheld_ctrl,1086
keyheld_shift,939
worldmap_3dview_active,729
worldmap_3dview_getcoordfine,808
worldmap_3dview_getloddistance,660
worldmap_getcategorypriority,832
worldmap_3dview_gettextfont,699
worldmap_3dview_getscreenposition,971
worldmap_getdisabletextsize,198
worldmap_getdisabletype,222
worldmap_getzoom,946
worldmap_getmap,592
worldmap_getmapname,35
worldmap_getsize,1038
worldmap_getdisplayposition,823
worldmap_getconfigorigin,1193
worldmap_getconfigsize,305
worldmap_getconfigbounds,342
worldmap_listelement_start,756
worldmap_listelement_next,393
worldmap_coordinmap,251
worldmap_getconfigzoom,500
worldmap_isloaded,1075
worldmap_getsourceposition,686
worldmap_getdisplaycoord,256
worldmap_getsourcecoord,67
worldmap_getdisableelements,272
worldmap_getdisableelementcategory,104
worldmap_getdisableelement,739
worldmap_getcurrentmap,1053
worldmap_findnearestelement,1122
fullscreen_enter,66
fullscreen_modecount,1097
fullscreen_getmode,940
