// Incomplete, bruteforced from opcodes-891-1239.txt and opcodes-910-1730.txt and opcodes-883-596.txt
detailcanmod_particles,538
detailcanmod_buildarea,577
detailcanmod_bloom,499
detailcanmod_groundblending,1110
detailcanmod_texturing,742
detailcanmod_maxscreensize,249
detailcanmod_toolkit_default,984
detailcanmod_skydetail,1114
detailcanset_grounddecor,714
detailcanset_hardshadows,65
detailcanset_shadowquality,717
detailcanset_waterdetail,578
detailcanset_antialiasing_quality,14
detailcanset_particles,237
detailcanset_buildarea,368
detailcanset_bloom,519
detailcanset_texturing,1083
detailcanset_maxscreensize,1230
detailcanset_toolkit_default,842
detailcanset_skydetail,254
detail_lightingquality,1188
detail_antialiasingmode,53
detail_ambientocclusion,848
detail_reflections,276
detail_vsync,1130
detail_anisotropicfiltering,553
detail_volumetriclighting,82
detail_maxforegroundfps,783
detail_maxbackgroundfps,290
detailget_lightingquality,171
detailget_antialiasingmode,767
detailget_ambientocclusion,1121
detailget_reflections,1097
detailget_vsync,1155
detailget_anisotropicfiltering,1143
detailget_volumetriclighting,149
detailget_maxforegroundfps,863
detailget_maxbackgroundfps,873
detailcanmod_lightingquality,699
detailcanmod_antialiasingmode,869
detailcanmod_ambientocclusion,319
detailcanmod_reflections,762
detailcanmod_vsync,52
detailcanmod_anisotropicfiltering,1147
detailcanmod_volumetriclighting,1168
detailcanmod_maxforegroundfps,211
detailcanmod_maxbackgroundfps,1149
detailcanset_lightingquality,1019
detailcanset_antialiasingmode,198
detailcanset_ambientocclusion,646
detailcanset_reflections,511
detailcanset_vsync,498
detailcanset_anisotropicfiltering,829
detailcanset_volumetriclighting,739
detailcanset_maxforegroundfps,1206
detailcanset_maxbackgroundfps,930
autosetup_setultra,24
unknown_command_7,1229
unknown_command_8,1211
autosetup_dosetupstatus,896
unknown_command_18,1063
unknown_command_19,751
