// Cache 684 is Spanish and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 815 is still covered by 319, 485 and 1615.
chatphrase_getdynamiccommandparam_enum,1191
chatphrase_find,1085
chatphrase_findnext,608
keyheld_alt,452
keyheld_ctrl,224
keyheld_shift,871
worldmap_3dview_active,512
worldmap_3dview_getcoordfine,29
worldmap_3dview_getloddistance,609
worldmap_getcategorypriority,408
worldmap_3dview_gettextfont,1075
worldmap_3dview_getscreenposition,427
worldmap_getdisabletextsize,347
worldmap_getdisabletype,897
worldmap_getzoom,1017
worldmap_getmap,1146
worldmap_getmapname,7
worldmap_getsize,53
worldmap_getdisplayposition,764
worldmap_getconfigorigin,233
worldmap_getconfigsize,614
worldmap_getconfigbounds,1050
worldmap_listelement_start,168
worldmap_listelement_next,211
worldmap_coordinmap,766
worldmap_getconfigzoom,1147
worldmap_isloaded,346
worldmap_getsourceposition,784
worldmap_getdisplaycoord,585
worldmap_getsourcecoord,89
worldmap_getdisableelements,548
worldmap_getdisableelementcategory,670
worldmap_getdisableelement,328
worldmap_getcurrentmap,550
worldmap_findnearestelement,569
fullscreen_enter,1014
fullscreen_modecount,107
fullscreen_getmode,419
fullscreen_lastmode,805
getwindowmode,821
getdefaultwindowmode,253
spline_length,59
lastlogin,988
minimenuopen,314
getclipboard,354
javascript_enabled,1188
java_version_supported,1143
has_html5,798
is_gamescreen_state,162
getcachedir,166
filechooser_open,240
createcachedir,862
cam_getangle_xa,1004
cam_getangle_ya,899
cam_getfollowheight,61
cam2_getcontrolmode,844
cam2_getlookatmode,908
cam2_getpositionmode,885
cam2_getpositionentity_angleoffsets,275
cam2_addeffect_shake,605
cam2_getpositionentity_lookatangleoffsets,1063
cam2_getpositionentity_lookatangle,701
cam2_getpositionentity_lookatdistance,351
cam2_addeffect_ztilt,576
cam2_isenabled,552
cam2_legacycam_ready,984
cam_modeisfollowplayer,21
login_reply,990
login_hoptime,3
login_ban_duration,1182
create_reply,928
create_email_validate_reply,1110
create_name_validate_reply,1047
create_suggest_name_reply,721
create_connect_reply,950
login_disallowresult,582
lobby_entergamereply,689
lobby_enterlobbyreply,257
has_signonkey,425
userflowflags,983
create_under13,133
login_last_transfer_reply,905
login_inprogress,816
login_queue_position,804
login_disallowtrigger,699
create_get_email,49
login_accountappeal,572
detailget_brightness,747
detailget_removeroofs_option,1161
detailget_grounddecor_on,825
detailget_idleanims_many,1149
detailget_flickering_on,132
detailget_spotshadows_on,469
detailget_hardshadows,42
detailget_shadowquality,1112
detailget_lightdetail_high,118
detailget_waterdetail_high,103
detailget_fog_on,812
detailget_antialiasing,942
detailget_antialiasing_quality,378
detailget_stereo,370
detailget_soundvol,501
detailget_musicvol,948
detailget_bgsoundvol,940
detailget_particles,146
detailget_antialiasing_default,866
detailget_buildarea,958
detailget_bloom,235
detailget_customcursors,432
detailget_idleanims,906
detailget_groundblending,1069
detailget_toolkit,718
detailget_toolkit_default,285
detailget_cpuusage,589
detailget_texturing,20
detailget_performance_metric,50
detailget_maxscreensize,101
detailget_speechvol,422
detailget_loginvol,893
detailget_safemode,921
detailget_loadingscreentype,655
detailget_orthographic,1073
detailget_canchoosesafemode,595
detailget_chosesafemode,187
detailget_skydetail,876
detailget_drawdistance,236
detailget_maxdiskcachesize,644
detailget_mindiskcachesize,823
detailget_recommendeddiskcachesize,705
detailget_diskcachesize,299
detailget_animdetail,820
viewport_geteffectivesize,435
viewport_getzoom,290
viewport_getfov,996
date_minutes,529
date_runeday,653
date_runeday_fromdate,692
date_year,377
date_isleapyear,414
date_runeday_todate,256
date_minutes_fromruneday,363
worldlist_fetch,71
worldlist_start,971
worldlist_next,169
worldlist_switch,402
worldlist_specific,829
worldlist_specific_thisworld,989
if_gettop,929
if_debug_getopenifcount,697
if_debug_getopenifid,511
if_debug_getname,615
if_debug_getcomcount,571
if_debug_getcomname,438
if_debug_getservertriggers,480
opcount,960
mec_text,1005
mec_sprite,465
mec_textsize,742
mec_category,807
mec_param,93
userdetail_quickchat,77
userdetail_lobby_membership,387
userdetail_lobby_recoveryday,1169
userdetail_lobby_unreadmessages,943
userdetail_lobby_lastloginday,48
userdetail_lobby_lastloginaddress,1118
userdetail_lobby_emailstatus,746
userdetail_lobby_ccexpiry,32
userdetail_lobby_graceexpiry,30
userdetail_lobby_dobrequested,1148
userdetail_dob,898
userdetail_lobby_membersstats,776
userdetail_lobby_playage,1140
userdetail_lobby_jcoins_balance,56
userdetail_lobby_loyalty_balance,204
autosetup_dosetup,398
autosetup_getlevel,1127
video_advert_play,213
video_advert_has_finished,1107
detailcanmod_grounddecor,808
detailcanmod_spotshadows,1086
detailcanmod_hardshadows,1048
detailcanmod_shadowquality,13
detailcanmod_waterdetail,4
detailcanmod_antialiasing,513
detailcanmod_antialiasing_quality,38
detailcanmod_particles,547
detailcanmod_buildarea,574
detailcanmod_bloom,99
detailcanmod_groundblending,973
detailcanmod_texturing,1041
detailcanmod_maxscreensize,992
detailcanmod_fog,1170
detailcanmod_orthographic,499
detailcanmod_toolkit_default,636
detailcanmod_skydetail,135
detailcanmod_animdetail,879
detailcanset_grounddecor,520
detailcanset_spotshadows,185
detailcanset_hardshadows,850
detailcanset_shadowquality,11
detailcanset_waterdetail,693
detailcanset_antialiasing,691
detailcanset_antialiasing_quality,604
detailcanset_particles,481
detailcanset_buildarea,986
detailcanset_bloom,1010
detailcanset_groundblending,553
detailcanset_texturing,1192
detailcanset_maxscreensize,671
detailcanset_fog,1033
detailcanset_orthographic,678
detailcanset_toolkit_default,744
detailcanset_skydetail,737
detailcanset_animdetail,24
get_entity_if,1177
get_entity_say,218
get_displayname_withextras,518
entity_cc_find,1102
get_npc_name,886
get_npc_vislevel,2
entity_if_find,281
get_entity_screen_position,312
if_get_gamescreen,1155
if_set_gamescreen_enabled,144
get_entity_overlay_height,379
get_npc_stat,109
is_npc_active,740
is_npc_visible,854
is_targeted_entity,252
npc_type,889
get_loc_screen_position,10
get_obj_screen_position,640
get_loc_overlay_height,1141
get_obj_overlay_height,12
get_loc_bounding_box,562
get_obj_bounding_box,255
get_entity_bounding_box,254
quest_getname,923
quest_getsortname,145
quest_type,863
quest_getdifficulty,681
quest_getmembers,598
quest_points,361
quest_questreq_count,852
quest_questreq,1082
quest_questreq_met,332
quest_pointsreq,1184
quest_pointsreq_met,282
quest_statreq_count,124
quest_statreq_stat,575
quest_statreq_level,35
quest_statreq_met,1002
quest_varpreq_count,153
quest_varpreq_desc,674
quest_varpreq_met,423
quest_varbitreq_count,76
quest_varbitreq_desc,722
quest_varbitreq_met,1030
quest_allreqmet,1042
quest_started,74
quest_finished,611
quest_param,330
map_build_complete,301
sound_song_stop,1159
sound_group_start,666
sound_group_stop,450
sound_vorbis_volume_rate_group,538
sound_mixbuss_add,554
sound_mixbuss_setlevel,979
sound_distancefocusfilter_setparams,496
preload_percent,607
shader_preload_allow,498
shader_preload_percent,468
shader_preload_throttle,993
can_run_java_client,672
fps_stats,503
runjavascript,448
worldmap_jumptosourcecoord_instant,912
worldmap_jumptodisplaycoord_instant,999
worldmap_setflashloops,102
worldmap_setflashloops_default,216
worldmap_setflashtics,372
worldmap_setflashtics_default,536
worldmap_perpetualflash,741
worldmap_stopcurrentflashes,383
player_group_find,845
player_group_member_count,459
player_group_member_get_same_world_var,1158
player_group_member_get_rank,517
player_group_member_get_team,1186
player_group_member_get_last_seen_node_id,317
player_group_member_get_status,537
player_group_member_is_online,957
player_group_member_is_member,1133
player_group_member_get_displayname,440
player_group_member_get_join_xp,1068
player_group_member_is_owner,840
player_group_banned_count,600
player_group_banned_get_displayname,310
player_group_get_displayname,75
player_group_get_max_size,150
player_group_get_create_mins_since_epoch,926
player_group_get_create_seconds_to_now,936
player_group_is_members_only,122
player_group_get_overall_status,719
player_group_get_owner_slot,1003
ttv_login,507
ttv_login_getstate,151
ttv_logout,293
ttv_library_getstate,938
ttv_library_request,894
ttv_stream_getstate,952
ttv_stream_start,68
ttv_stream_stop,931
ttv_stream_settitle,725
ttv_stream_getviewers,785
